Time,Current
23:18:59.242,9.23
23:18:59.313,15.08
23:18:59.374,9.23
23:18:59.445,9.23
23:18:59.506,15.23
23:18:59.577,16.58
23:18:59.638,8.93
23:18:59.699,14.78
23:18:59.770,9.08
23:18:59.831,9.08
23:18:59.901,15.60
23:18:59.962,9.23
23:19:00.033,9.23
23:19:00.094,15.38
23:19:00.165,9.23
23:19:00.226,9.23
23:19:00.296,15.30
23:19:00.357,9.23
23:19:00.418,9.23
23:19:00.489,15.53
23:19:00.550,9.23
23:19:00.621,16.58
23:19:00.682,14.78
23:19:00.753,9.30
23:19:00.814,9.08
23:19:00.884,11.63
23:19:00.945,12.98
23:19:01.017,9.23
23:19:01.077,9.38
23:19:01.138,15.30
23:19:01.209,9.23
23:19:01.270,9.23
23:19:01.341,15.38
23:19:01.402,9.23
23:19:01.472,9.08
23:19:01.533,15.08
23:19:01.604,9.23
23:19:01.665,38.18
23:19:01.727,11.40
23:19:01.798,4.50
23:19:01.859,4.50
23:19:01.929,11.48
23:19:01.990,10.20
23:19:02.062,4.58
23:19:02.122,4.58
23:19:02.193,10.80
23:19:02.254,4.50
23:19:02.325,4.58
23:19:02.385,10.80
23:19:02.446,4.58
23:19:02.517,4.58
23:19:02.578,10.88
23:19:02.649,4.58
23:19:02.710,4.58
23:19:02.780,10.73
23:19:02.842,4.58
23:19:02.912,4.50
23:19:02.973,10.73
23:19:03.044,4.58
23:19:03.105,4.50
23:19:03.165,10.80
23:19:03.236,4.50
23:19:03.297,4.58
23:19:03.368,10.80
23:19:03.429,4.50
23:19:03.500,4.58
23:19:03.561,10.73
23:19:03.632,4.58
23:19:03.693,4.50
23:19:03.763,10.43
23:19:03.824,4.58
23:19:03.885,4.50
23:19:03.956,10.50
23:19:04.017,4.58
23:19:04.088,4.58
23:19:04.148,10.80
23:19:04.219,4.50
23:19:04.280,4.58
23:19:04.351,10.80
23:19:04.412,4.58
23:19:04.482,4.50
23:19:04.543,10.73
23:19:04.604,4.58
23:19:04.675,4.50
23:19:04.736,10.73
23:19:04.807,4.58
23:19:04.867,4.50
23:19:04.938,10.73
23:19:04.999,4.58
23:19:05.070,4.50
23:19:05.130,7.88
23:19:05.202,7.43
23:19:05.262,4.50
23:19:05.332,5.03
23:19:05.393,10.20
23:19:05.455,4.58
23:19:05.525,4.50
23:19:05.586,10.73
23:19:05.657,4.50
23:19:05.717,4.50
23:19:05.788,10.43
23:19:05.850,4.50
23:19:05.920,4.50
23:19:05.981,10.50
23:19:06.052,4.50
23:19:06.113,4.50
23:19:06.173,10.50
23:19:06.245,4.58
23:19:06.305,4.50
23:19:06.376,10.80
23:19:06.437,6.98
23:19:06.508,9.08
23:19:06.569,15.38
23:19:06.640,9.30
23:19:06.700,9.23
23:19:06.771,15.38
23:19:06.832,9.38
23:19:06.893,9.30
23:19:06.964,15.53
23:19:07.025,9.38
23:19:07.096,9.30
23:19:07.156,15.53
23:19:07.227,9.53
23:19:07.288,9.38
